id,EAP,HPL,MWS
id02310,0.03046,0.01403,0.95551
id24541,0.9176,0.04918,0.03321
id00134,0.51956,0.45881,0.02163
id27757,0.39696,0.60192,0.00112
id04081,0.78213,0.12066,0.09721
id27337,0.56879,0.40956,0.02166
id24265,0.46103,0.42368,0.1153
id25917,0.15152,0.14762,0.70086
id04951,0.99477,0.00511,0.00011
id14549,0.62381,0.10343,0.27277
id22505,0.03383,0.0967,0.86947
id24002,4e-05,0.99985,0.0001
id18982,0.71971,0.24492,0.03537
id15181,0.0111,0.98841,0.00049
id21888,0.87352,0.05824,0.06824
id12035,0.00505,0.00228,0.99267
id17991,0.2988,0.02768,0.67352
id10707,0.99756,0.00145,0.00099
id07101,0.20383,0.17149,0.62467
id00345,0.07874,0.91391,0.00735
id05912,0.69941,0.11001,0.19058
id13443,0.98743,0.00992,0.00265
id09248,0.0165,0.21058,0.77293
id17542,0.00236,0.99598,0.00166
id06995,0.15199,0.03702,0.81099
id25159,0.70169,0.03081,0.2675
id25729,0.62359,0.2888,0.0876
id26949,0.88609,0.04167,0.07224
id27191,0.73808,0.07453,0.18739
id07668,0.40852,0.01207,0.57942
id02230,0.06799,0.40356,0.52845
id15553,0.9629,0.01193,0.02517
id25688,0.01012,0.98671,0.00318
id17545,0.99351,0.00111,0.00538
id13929,0.13473,0.2276,0.63767
id12880,0.76664,0.09257,0.14079
id19282,0.60534,0.13216,0.26249
id14690,0.04743,0.00111,0.95146
id17975,0.06027,0.92488,0.01485
id08037,0.62836,0.03232,0.33931
id15412,0.10305,0.04997,0.84699
id25032,0.48508,0.20157,0.31335
id27165,0.99875,0.00047,0.00078
id03327,0.59463,0.37471,0.03066
id18515,0.58668,0.10655,0.30676
id21003,0.33785,0.08678,0.57537
id23855,0.00557,0.91361,0.08082
id20724,0.4736,0.2158,0.3106
id13303,0.49378,0.04003,0.46619
id16521,0.01052,0.17771,0.81177
id20775,0.88876,0.10299,0.00825
id13029,0.99271,0.00497,0.00232
id14660,0.70743,0.25962,0.03295
id11028,0.00361,0.00077,0.99562
id14180,0.92024,0.06885,0.01092
id25860,0.98968,0.00795,0.00237
id11910,0.35408,0.30887,0.33705
id08065,0.84628,0.07393,0.07978
id22674,0.17606,0.00827,0.81567
id25018,0.18567,0.01559,0.79874
id10892,0.29927,0.50293,0.1978
id10217,0.03149,0.96467,0.00383
id12996,0.52552,0.20578,0.2687
id18262,0.39092,0.36692,0.24216
id08606,0.00508,0.98925,0.00567
id17233,0.97003,0.0199,0.01007
id00101,0.85548,0.10548,0.03904
id12225,0.88893,0.11006,0.00102
id01364,0.31428,0.56942,0.1163
id24973,0.71939,0.09029,0.19032
id25363,0.78865,0.00949,0.20187
id10061,0.36687,0.07491,0.55822
id17673,0.20652,0.7832,0.01028
id13249,0.7868,0.03961,0.17359
id10107,0.06761,0.01469,0.91771
id04403,0.96708,0.00464,0.02828
id25728,0.62949,0.17979,0.19072
id16184,0.58218,0.18049,0.23733
id03438,0.00472,0.00022,0.99505
id22923,0.00525,0.99403,0.00072
id08610,0.96491,0.0123,0.02279
id25355,0.18575,0.09248,0.72177
id16916,0.55185,0.33248,0.11568
id12793,0.00881,0.98455,0.00664
id11859,0.63089,0.20096,0.16815
id02434,0.99716,0.00204,0.0008
id27703,0.01458,0.01112,0.9743
id25212,0.06008,0.93881,0.00111
id11308,0.18582,0.25003,0.56415
id26094,0.96085,0.03019,0.00897
id22080,0.7315,0.23317,0.03533
id03545,0.94407,0.05076,0.00516
id23725,0.03893,0.26432,0.69675
id12009,0.85513,0.10627,0.0386
id24241,0.41173,0.10582,0.48245
id03596,0.02205,0.96704,0.01092
id10749,0.16199,0.74373,0.09428
id22794,0.2329,0.07968,0.68743
id15482,0.26998,0.67937,0.05065
id04833,0.88453,0.08267,0.03279
id00397,0.01815,0.00147,0.98038
id14691,0.00848,0.00129,0.99022
id05193,0.18719,0.0422,0.77061
id19541,0.6083,0.03277,0.35893
id22166,0.0102,0.01325,0.97655
id20744,0.06516,0.00376,0.93108
id10392,0.03179,0.02251,0.9457
id00770,0.8874,0.07441,0.03818
id06018,0.21336,0.76512,0.02153
id15678,0.70984,0.00211,0.28805
id08305,0.82883,0.12909,0.04208
id08903,0.10353,0.05304,0.84342
id14752,0.29666,0.68147,0.02187
id12468,0.03648,0.96044,0.00308
id05085,0.22259,0.76578,0.01163
id21993,0.28248,0.06381,0.65371
id15503,0.75334,0.23332,0.01334
id03021,0.00015,0.99953,0.00032
id16123,0.99951,0.00041,8e-05
id19383,0.8973,0.08056,0.02214
id04186,0.99607,0.00186,0.00206
id17954,0.02803,0.00233,0.96965
id12030,0.29789,0.07285,0.62926
id13020,0.65321,0.3295,0.01728
id25327,0.14162,0.42777,0.43061
id16344,0.42979,0.06854,0.50167
id12303,0.32788,0.37225,0.29987
id15017,0.90713,0.09176,0.00111
id22308,0.13866,0.03896,0.82238
id06536,0.00992,0.00354,0.98654
id19797,0.01517,0.94948,0.03535
id06332,0.57702,0.23969,0.18329
id22941,0.50547,0.16153,0.33299
id13547,0.09704,0.05781,0.84515
id06928,0.02387,0.00118,0.97495
id12521,0.93811,0.04855,0.01334
id25716,0.50631,0.17038,0.32331
id27116,0.00017,6e-05,0.99977
id19941,0.01231,0.9322,0.05549
id05711,0.0002,0.00057,0.99923
id02097,0.00946,0.06672,0.92382
id03563,0.03793,0.95372,0.00836
id02295,0.30923,0.38612,0.30465
id08179,0.99864,0.0012,0.00016
id05332,0.03014,0.95383,0.01603
id15697,0.43961,0.08809,0.4723
id17026,0.03058,0.01617,0.95325
id04243,0.55471,0.43496,0.01034
id13175,0.99992,7e-05,1e-05
id05387,0.71803,0.01191,0.27006
id19989,0.82576,0.08438,0.08986
id25173,0.50208,0.13443,0.36349
id08925,0.03659,0.96229,0.00112
id03034,0.03104,0.90445,0.0645
id13272,0.00254,0.99371,0.00375
id07956,0.92044,0.03324,0.04633
id02648,0.01588,0.00108,0.98304
id01778,0.15692,0.01155,0.83153
id12846,0.05142,0.00172,0.94686
id19001,0.74059,0.06227,0.19713
id05763,0.74873,0.06993,0.18133
id15590,0.00458,0.00275,0.99267
id04912,0.5381,0.13102,0.33089
id21201,0.92852,0.05134,0.02014
id13215,0.99209,0.00307,0.00484
id15612,0.23394,0.73838,0.02768
id18501,0.02284,0.01256,0.9646
id07223,0.32583,0.48776,0.1864
id06707,0.69417,0.06452,0.24131
id05238,0.00478,0.99219,0.00304
id00935,0.10337,0.05684,0.83979
id00110,0.6412,0.06733,0.29148
id17476,0.97936,0.01535,0.00529
id15170,0.98805,0.00861,0.00334
id13397,0.26713,0.09735,0.63552
id24283,0.5046,0.08056,0.41485
id15234,0.97224,0.02674,0.00102
id16884,0.52951,0.0918,0.37869
id07831,0.19316,0.70047,0.10637
id16038,0.7711,0.14764,0.08126
id03629,0.1675,0.25593,0.57657
id21019,0.6233,0.11821,0.25849
id21835,0.48018,0.17916,0.34066
id04480,0.14433,0.85523,0.00044
id20838,0.73221,0.14874,0.11905
id24195,0.82674,0.08361,0.08965
id05448,0.88576,0.04922,0.06502
id15957,0.08762,0.90609,0.0063
id19956,0.02715,0.00088,0.97196
id15104,0.15282,0.16307,0.68412
id17559,0.50197,0.3176,0.18043
id16839,0.24541,0.40562,0.34897
id14493,0.502,0.06856,0.42945
id08833,0.80933,0.0211,0.16957
id15723,0.18974,0.2267,0.58355
id02716,0.73767,0.21065,0.05167
id06689,0.03633,0.93494,0.02872
id18837,0.41376,0.13808,0.44817
id04466,0.86825,0.12027,0.01148
id00686,0.90147,0.0468,0.05173
id09010,0.15437,0.83892,0.00671
id23353,0.43767,0.3585,0.20383
id00066,0.60435,0.11228,0.28338
id15724,0.20962,0.72487,0.06551
id23486,0.15798,0.0438,0.79821
id22258,0.14847,0.05362,0.79791
id02292,0.17044,0.74881,0.08075
id16356,0.15891,0.02477,0.81632
